GEN 1:1	The Beginning	
GEN 2:4	Adam and Eve	
GEN 3:1	The Fall of Man	
GEN 4:1	Cain and Abel	
GEN 5:1	From Adam to Noah	
GEN 6:1	The Flood	
GEN 9:1	God's Covenant With Noah	
GEN 9:18	The Sons of Noah	
GEN 10:1	The Table of Nations	
GEN 11:1	The Tower of Babel	
GEN 11:10	From Shem to Abram	
GEN 12:1	The Call of Abram	
GEN 12:10	Abram in Egypt	
GEN 13:1	Abram and Lot Separate	
GEN 14:1	Abram Rescues Lot	
GEN 15:1	God's Covenant With Abram	
GEN 16:1	Hagar and Ishmael	
GEN 17:1	The Covenant of Circumcision	
GEN 18:1	The Three Visitors	
GEN 18:16	Abraham Pleads for Sodom	
GEN 19:1	Sodom and Gomorrah Destroyed	
GEN 19:30	Lot and His Daughters	
GEN 20:1	Abraham and Abimelech	
GEN 21:1	The Birth of Isaac	
GEN 21:8	Hagar and Ishmael Sent Away	
GEN 21:22	The Treaty at Beersheba	
GEN 22:1	Abraham Tested	
GEN 22:20	Nahor's Sons	
GEN 23:1	The Death of Sarah	
GEN 24:1	Isaac and Rebekah	
GEN 25:1	The Death of Abraham	
GEN 25:12	Ishmael's Sons	
GEN 25:19	Jacob and Esau	
GEN 26:1	Isaac and Abimelech	
GEN 27:1	Jacob Gets Isaac's Blessing	
GEN 27:41	Jacob Flees to Laban	
GEN 28:10	Jacob's Dream at Bethel	
GEN 29:1	Jacob Arrives in Paddan Aram	
GEN 29:15	Jacob Marries Leah and Rachel	
GEN 29:31	Jacob's Children	
GEN 30:25	Jacob's Flocks Increase	
GEN 31:1	Jacob Flees From Laban	
GEN 31:22	Laban Pursues Jacob	
GEN 32:1	Jacob Prepares to Meet Esau	
GEN 32:22	Jacob Wrestles With God	
GEN 33:1	Jacob Meets Esau	
GEN 34:1	Dinah and the Shechemites	
GEN 35:1	Jacob Returns to Bethel	
GEN 35:16	The Deaths of Rachel and Isaac	
GEN 36:1	Esau's Descendants	
GEN 36:31	The Rulers of Edom	
GEN 37:1	Joseph's Dreams	
GEN 37:12	Joseph Sold by His Brothers	
GEN 38:1	Judah and Tamar	
GEN 39:1	Joseph and Potiphar's Wife	
GEN 40:1	The Cupbearer and the Baker	
GEN 41:1	Pharaoh's Dreams	
GEN 41:41	Joseph in Charge of Egypt	
GEN 42:1	Joseph's Brothers Go to Egypt	
GEN 43:1	The Second Journey to Egypt	
GEN 44:1	A Silver Cup in a Sack	
GEN 45:1	Joseph Makes Himself Known	
GEN 46:1	Jacob Goes to Egypt	
GEN 47:13	Joseph and the Famine	
GEN 48:1	Manasseh and Ephraim	
GEN 49:1	Jacob Blesses His Sons	
GEN 49:29	The Death of Jacob	
GEN 50:15	Joseph Reassures His Brothers	
GEN 50:22	The Death of Joseph	
EXOD 1:1	The Israelites Oppressed	
EXOD 2:1	The Birth of Moses	
EXOD 2:11	Moses Flees to Midian	
EXOD 3:1	Moses and the Burning Bush	
EXOD 4:1	Signs for Moses	
EXOD 4:18	Moses Returns to Egypt	
