,"Matthew 1:1 The book of the generation of Jesus Christ, the son of David, the son of Abraham.","Mattheus 1:1 DIE geslagsregister van Jesus Christus, die seun van Dawid, die seun van Abraham:"
,Matthew 1:2 Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brethren;,"Mattheus 1:2 Abraham was die vader van Isak, en Isak die vader van Jakob, en Jakob die vader van Juda en sy broers;"
,Matthew 1:3 And Judas begat Phares and Zara of Thamar; and Phares begat Esrom; and Esrom begat Aram;,"Mattheus 1:3 en Juda was die vader van Peres en Serag by Tamar, en Peres was die vader van Hesron, en Hesron die vader van Ram,"
,Matthew 1:4 And Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon;,"Mattheus 1:4 en Ram die vader van Ammínadab, en Ammínadab die vader van Nagson, en Nagson die vader van Salmon,"
,Matthew 1:5 And Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse;,"Mattheus 1:5 en Salmon die vader van Boas by Ragab, en Boas die vader van Obed by Rut, en Obed die vader van Ísai,"
,Matthew 1:6 And Jesse begat David the king; and David the king begat Solomon of her [that had been the wife] of Urias;,"Mattheus 1:6 en Ísai die vader van koning Dawid, en koning Dawid die vader van Salomo by die vrou van Uría,"
,Matthew 1:7 And Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa;,"Mattheus 1:7 en Salomo die vader van Rehábeam, en Rehábeam die vader van Abía, en Abía die vader van Asa,"
,Matthew 1:8 And Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;,"Mattheus 1:8 en Asa die vader van Jósafat, en Jósafat die vader van Joram, en Joram die vader van Ussía,"
,Matthew 1:9 And Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias;,"Mattheus 1:9 en Ussía die vader van Jotam, en Jotam die vader van Agas, en Agas die vader van Hiskía,"
,Matthew 1:10 And Ezekias begat Manasses; and Manasses begat Amon; and Amon begat Josias;,"Mattheus 1:10 en Hiskía die vader van Manasse, en Manasse die vader van Amon, en Amon die vader van Josía,"
en:p,"Matthew 1:11 And Josias begat Jechonias and his brethren, about the time they were carried away to Babylon:",Mattheus 1:11 en Josía die vader van Jegónia en sy broers in die tyd van die Babiloniese ballingskap.
,"Matthew 1:12 And after they were brought to Babylon, Jechonias begat Salathiel; and Salathiel begat Zorobabel;","Mattheus 1:12 En ná die Babiloniese ballingskap het Jegónia die vader geword van Seáltiël, en Seáltiël was die vader van Serubbábel,"
,Matthew 1:13 And Zorobabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;,"Mattheus 1:13 en Serubbábel die vader van Abíud, en Abíud die vader van Éljakim, en Éljakim die vader van Asor,"
,Matthew 1:14 And Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;,"Mattheus 1:14 en Asor die vader van Sadok, en Sadok die vader van Agim, en Agim die vader van Elíud,"
,Matthew 1:15 And Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob;,"Mattheus 1:15 en Elíud die vader van Eleásar, en Eleásar die vader van Mattan, en Mattan die vader van Jakob,"
,"Matthew 1:16 And Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ.","Mattheus 1:16 en Jakob die vader van Josef, die man van Maria uit wie gebore is Jesus wat Christus genoem word."
,Matthew 1:17 So all the generations from Abraham to David [are] fourteen generations; and from David until the carrying away into Babylon [are] fourteen generations; and from the carrying away into Babylon unto Christ [are] fourteen generations.,"Mattheus 1:17 Al die geslagte dan van Abraham tot Dawid is veertien geslagte, en van Dawid tot die Babiloniese ballingskap veertien geslagte, en van die Babiloniese ballingskap tot Christus veertien geslagte."
,"Matthew 1:18 Now the birth of Jesus Christ was on this wise: When as his mother Mary was espoused to Joseph, before they came together, she was found with child of the Holy Ghost.","Mattheus 1:18 DIE geboorte van Jesus Christus was dan só: Toe sy moeder Maria verloof was aan Josef, voordat hulle saamgekom het, is sy swanger bevind uit die Heilige Gees."
,"Matthew 1:19 Then Joseph her husband, being a just [man], and not willing to make her a publick example, was minded to put her away privily.","Mattheus 1:19 En Josef, haar man, omdat hy regverdig was en onwillig om haar openbaar te maak, het hom voorgeneem om in die geheim van haar te skei."
,"Matthew 1:20 But while he thought on these things, behold, the angel of the Lord appeared unto him in a dream, saying, Joseph, thou son of David, fear not to take unto thee Mary thy wife: for that which is conceived in her is of the Holy Ghost.","Mattheus 1:20 Maar terwyl hy dit in die gedagte gehad het, verskyn daar ’n engel van die Here in ’n droom aan hom en sê: Josef, seun van Dawid, wees nie bevrees om Maria, jou vrou, by jou te neem nie, want wat in haar verwek is, is uit die Heilige Gees;"
,"Matthew 1:21 And she shall bring forth a son, and thou shalt call his name JESUS: for he shall save his people from their sins.","Mattheus 1:21 en sy sal ’n seun baar, en jy moet Hom Jesus noem, want dit is Hy wat sy volk van hulle sondes sal verlos."
,"Matthew 1:22 Now all this was done, that it might be fulfilled which was spoken of the Lord by the prophet, saying,","Mattheus 1:22 En dit het alles gebeur, sodat die woord vervul sou word wat die Here deur die profeet gespreek het:"
,"Matthew 1:23 Behold, a virgin shall be with child, and shall bring forth a son, and they shall call his name Emmanuel, which being interpreted is, God with us.","Mattheus 1:23 Kyk, die maagd sal swanger word en ’n seun baar, en hulle sal Hom Emmánuel noem, dit is, as dit vertaal word: God met ons."
,"Matthew 1:24 Then Joseph being raised from sleep did as the angel of the Lord had bidden him, and took unto him his wife:","Mattheus 1:24 En toe Josef uit die slaap wakker word, het hy gedoen soos die engel van die Here hom beveel het en sy vrou by hom geneem;"
en:p,Matthew 1:25 And knew her not till she had brought forth her firstborn son: and he called his name JESUS.,Mattheus 1:25 en hy het haar nie beken totdat sy haar eersgebore Seun gebaar het nie; en hy het Hom Jesus genoem.
,"Matthew 2:1 Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king, behold, there came wise men from the east to Jerusalem,","Mattheus 2:1 EN toe Jesus te Betlehem in Judéa gebore is, in die dae van koning Herodes, het daar wyse manne uit die Ooste in Jerusalem aangekom"
,"Matthew 2:2 Saying, Where is he that is born King of the Jews? for we have seen his star in the east, and are come to worship him.","Mattheus 2:2 en gesê: Waar is die Koning van die Jode, wat gebore is? Want ons het sy ster in die Ooste gesien en gekom om Hom hulde te bewys."
,"Matthew 2:3 When Herod the king had heard [these things], he was troubled, and all Jerusalem with him.","Mattheus 2:3 En toe koning Herodes dit hoor, was hy ontsteld en die hele Jerusalem saam met hom;"
,"Matthew 2:4 And when he had gathered all the chief priests and scribes of the people together, he demanded of them where Christ should be born.",Mattheus 2:4 en hy het al die owerpriesters en die skrifgeleerdes van die volk bymekaar laat kom en by hulle navraag gedoen waar die Christus gebore sou word.
,"Matthew 2:5 And they said unto him, In Bethlehem of Judaea: for thus it is written by the prophet,","Mattheus 2:5 En hulle het vir hom gesê: Te Betlehem in Judéa, want so is daar deur die profeet geskrywe:"
,"Matthew 2:6 And thou Bethlehem, [in] the land of Juda, art not the least among the princes of Juda: for out of thee shall come a Governor, that shall rule my people Israel.","Mattheus 2:6 En jy, Betlehem, land van Juda, is volstrek nie die geringste onder die vorste van Juda nie, want uit jou sal ’n leidsman voortkom wat vir my volk Israel ’n herder sal wees."
,"Matthew 2:7 Then Herod, when he had privily called the wise men, enquired of them diligently what time the star appeared.",Mattheus 2:7 Toe het Herodes die wyse manne in die geheim geroep en hulle na die tyd van die ster se verskyning uitgevra;
,"Matthew 2:8 And he sent them to Bethlehem, and said, Go and search diligently for the young child; and when ye have found [him], bring me word again, that I may come and worship him also.","Mattheus 2:8 en hy het hulle na Betlehem gestuur en gesê: Gaan doen noukeurig ondersoek na die Kindjie, en as julle Hom vind, laat my weet, sodat ek ook kan gaan en Hom hulde bewys."
,"Matthew 2:9 When they had heard the king, they departed; and, lo, the star, which they saw in the east, went before them, till it came and stood over where the young child was.","Mattheus 2:9 En nadat hulle die koning aangehoor het, het hulle vertrek. En kyk, die ster wat hulle in die Ooste gesien het, gaan voor hulle uit totdat hy kom en bly staan bo-oor die plek waar die Kindjie was."
,"Matthew 2:10 When they saw the star, they rejoiced with exceeding great joy.","Mattheus 2:10 En toe hulle die ster sien, het hulle hul met baie groot blydskap verheug."
,"Matthew 2:11 And when they were come into the house, they saw the young child with Mary his mother, and fell down, and worshipped him: and when they had opened their treasures, they presented unto him gifts; gold, and frankincense, and myrrh.","Mattheus 2:11 En hulle het in die huis gegaan en die Kindjie by Maria, sy moeder, gevind en neergeval en Hom hulde bewys. Daarop maak hulle hul skatte oop en bring vir Hom geskenke: goud en wierook en mirre."
,"Matthew 2:12 And being warned of God in a dream that they should not return to Herod, they departed into their own country another way.","Mattheus 2:12 En omdat hulle in ’n droom ’n goddelike waarskuwing ontvang het om nie na Herodes terug te keer nie, het hulle met ’n ander pad na hul land teruggegaan."
,"Matthew 2:13 And when they were departed, behold, the angel of the Lord appeareth to Joseph in a dream, saying, Arise, and take the young child and his mother, and flee into Egypt, and be thou there until I bring thee word: for Herod will seek the young child to destroy him.","Mattheus 2:13 EN toe hulle teruggegaan het, verskyn daar ’n engel van die Here in ’n droom aan Josef en sê: Staan op, neem die Kindjie en sy moeder en vlug na Egipte, en bly daar totdat ek jou sê; want Herodes gaan die Kindjie soek om Hom dood te maak."
,"Matthew 2:14 When he arose, he took the young child and his mother by night, and departed into Egypt:","Mattheus 2:14 Hy het toe opgestaan, die Kindjie en sy moeder in die nag geneem en na Egipte vertrek."
,"Matthew 2:15 And was there until the death of Herod: that it might be fulfilled which was spoken of the Lord by the prophet, saying, Out of Egypt have I called my son.","Mattheus 2:15 En hy was daar tot die dood van Herodes, sodat die woord vervul sou word wat die Here gespreek het deur die profeet: Uit Egipte het Ek my Seun geroep."
